		200	300	600	1000	1500	2000
41	25	0.00E+000	7.06E-014	5.23E-013	1.42E-012	2.48E-012	3.22E-012
41	24	0.00E+000	3.62E-014	3.19E-013	9.16E-013	1.62E-012	2.16E-012
41	23	0.00E+000	2.37E-014	2.46E-013	7.93E-013	1.51E-012	2.01E-012
41	22	0.00E+000	1.31E-014	1.42E-013	4.66E-013	8.70E-013	1.17E-012
41	21	0.00E+000	1.22E-014	1.19E-013	4.08E-013	7.98E-013	1.02E-012
40	39	1.54E-011	4.23E-011	6.47E-011	8.33E-011	9.83E-011	1.08E-010
40	38	2.14E-011	5.22E-011	8.31E-011	1.11E-010	1.33E-010	1.49E-010
40	37	7.68E-012	2.51E-011	4.21E-011	5.65E-011	6.77E-011	7.46E-011
40	36	5.30E-012	1.29E-011	2.22E-011	3.26E-011	4.25E-011	4.97E-011
40	35	3.37E-012	1.27E-011	2.39E-011	3.47E-011	4.35E-011	4.91E-011
40	34	1.41E-012	5.37E-012	1.01E-011	1.52E-011	2.05E-011	2.45E-011
40	33	9.99E-013	5.36E-012	1.14E-011	1.86E-011	2.50E-011	2.93E-011
40	32	5.09E-013	2.83E-012	6.43E-012	1.00E-011	1.34E-011	1.59E-011
40	31	2.71E-013	2.18E-012	5.69E-012	9.70E-012	1.37E-011	1.67E-011
40	30	1.42E-013	1.30E-012	3.87E-012	6.72E-012	9.25E-012	1.10E-011
40	29	7.23E-014	8.93E-013	2.94E-012	5.51E-012	8.10E-012	1.01E-011
40	28	3.62E-014	5.57E-013	2.22E-012	4.45E-012	6.50E-012	7.80E-012
40	27	1.70E-014	3.60E-013	1.55E-012	3.26E-012	4.97E-012	6.22E-012
40	26	6.73E-015	2.18E-013	1.15E-012	2.65E-012	4.18E-012	5.17E-012
40	25	0.00E+000	1.25E-013	7.31E-013	1.76E-012	2.85E-012	3.65E-012
40	24	0.00E+000	7.17E-014	5.27E-013	1.43E-012	2.48E-012	3.21E-012
40	23	0.00E+000	3.68E-014	3.21E-013	9.18E-013	1.62E-012	2.15E-012
40	22	0.00E+000	2.41E-014	2.48E-013	7.94E-013	1.50E-012	2.00E-012
40	21	0.00E+000	1.32E-014	1.43E-013	4.66E-013	8.67E-013	1.16E-012
40	20	0.00E+000	1.23E-014	1.20E-013	4.07E-013	7.95E-013	1.01E-012
39	38	1.59E-011	4.33E-011	6.57E-011	8.42E-011	9.90E-011	1.09E-010
39	37	2.22E-011	5.34E-011	8.44E-011	1.12E-010	1.34E-010	1.50E-010
39	36	7.97E-012	2.57E-011	4.27E-011	5.71E-011	6.82E-011	7.50E-011
39	35	5.49E-012	1.32E-011	2.25E-011	3.29E-011	4.28E-011	5.00E-011
39	34	3.49E-012	1.30E-011	2.42E-011	3.50E-011	4.37E-011	4.93E-011
39	33	1.46E-012	5.49E-012	1.03E-011	1.53E-011	2.06E-011	2.46E-011
39	32	1.03E-012	5.47E-012	1.16E-011	1.88E-011	2.51E-011	2.94E-011
39	31	5.27E-013	2.89E-012	6.51E-012	1.01E-011	1.34E-011	1.59E-011
39	30	2.81E-013	2.22E-012	5.75E-012	9.77E-012	1.38E-011	1.68E-011
39	29	1.47E-013	1.32E-012	3.91E-012	6.76E-012	9.28E-012	1.10E-011
39	28	7.47E-014	9.11E-013	2.97E-012	5.54E-012	8.13E-012	1.01E-011
39	27	3.74E-014	5.68E-013	2.25E-012	4.47E-012	6.52E-012	7.81E-012
39	26	1.75E-014	3.66E-013	1.56E-012	3.27E-012	4.98E-012	6.22E-012
39	25	6.94E-015	2.22E-013	1.16E-012	2.66E-012	4.18E-012	5.17E-012
39	24	0.00E+000	1.27E-013	7.37E-013	1.76E-012	2.85E-012	3.64E-012
